"You will be redirected to Mozg website when you place an order.", "Você será redirecionado para o site da Mozg, quando efetuar a compra."
"%s ( Qty: %s ) (Price: %s %s ) <br />","%s ( Qtd: %s ) (Preço: %s %s ) <br />"
"Mozg %s <br /> authResult: %s <br /> pspReference: %s"
"Mozg %s <br /> eventCode: %s <br /> pspReference: %s <br /> success: %s"
"Mozg response(s): %s <br /> pspReference: %s", "Resposta(s) da Mozg: %s <br /> pspReference: %s"
"Authorize Only","Somente Autorizar"
"Authorize and Capture","Autorizar e Capturar"
"Can not connect payment service. Please try again later.","Não foi possível conectar ao serviço de pagamento. Tente novamente."
"Capture Mode set to Manual","Modo de Captura ajustado para Manual"
"Customer was redirected to Mozg.", "Cliente redirecionado para a Mozg"
"Order can not Hold","Não é possível continuar a compra"
"Order can not be canceled", "A compra não pode ser cancelada"
"Order rows: <br />","Detalhes da compra: <br />"
"Shipment cost: %s %s <br />","Custo de envio: %s %s <br />"
"System error, please try again later","Erro no sistema. Por favor, tente novamente mais tarde"
"System error, please try again later: %s", "Erro no sistema. Por favor, tente novamente mais tarde: %s"
"The payment is REFUSED.", "O Pagamento foi RECUSADO."
"You will be redirected to Mozg in a few seconds.", "Você será redirecionado para a Mozg em alguns segundos."
"Your payment failed, Please try again later","Sua tentativa de pagamento falhou. Por favor, tente novamente."
"--Please Select--","--Por favor selecione--"
"Account Number","Número da conta"
"Account holder name","Nome do titular da conta"
"Account holder: %s","Titular da conta: %s"
"Account number: xxx%s","Número da conta: xxx%s"
"Bank Location","Endereço do Banco"
"Bank Location (City)","Localização do Banco (Cidade)"
"Bank Location ID","Número da Agência"
"Bank Name","Nome do Banco"
"Bank code: %s", "Código do Banco: %s"
"Bank name: %s","Nome do banco: %s"
"Card Verification Number","Código de Verificação do Cartão"
"Credit Card Number","Número do Cartão"
"Credit Card Number: xxxx-%s","Número do Cartão: xxxx-%s"
"Credit Card Type", "Tipo de Cartão"
"Credit Card Type: %s", "Tipo de Cartão: %s"
"Expiration Date","Data de Vencimento"
"Expiration Date: %s/%s","Data de Vencimento: %s/%s"
"Name on Card","Nome do titular (como está gravado no Cartão)"
"Name on the Card: %s","Nome do titular (como está gravado no Cartão): %s"
"Payment Method: %s","Método de Pagamento: %s"
"Submitting payment information...","Enviando informação de pagamento..."
"What is this?","O que é isso?"
"Order email sent to shopper.","O email de compra foi enviado para o cliente. "
"The payment is PENDING by Mozg.","O pagamento está PENDENTE pela Mozg."
